Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
23.04.2022,00.00,840,USD,1,Долар США,29.2549
24.04.2022,00.00,840,USD,1,Долар США,29.2549
25.04.2022,00.00,840,USD,1,Долар США,29.2549
26.04.2022,00.00,840,USD,1,Долар США,29.2549
27.04.2022,00.00,840,USD,1,Долар США,29.2549
28.04.2022,00.00,840,USD,1,Долар США,29.2549
29.04.2022,00.00,840,USD,1,Долар США,29.2549
30.04.2022,00.00,840,USD,1,Долар США,29.2549
01.05.2022,00.00,840,USD,1,Долар США,29.2549
02.05.2022,00.00,840,USD,1,Долар США,29.2549
03.05.2022,00.00,840,USD,1,Долар США,29.2549
04.05.2022,00.00,840,USD,1,Долар США,29.2549
05.05.2022,00.00,840,USD,1,Долар США,29.2549
06.05.2022,00.00,840,USD,1,Долар США,29.2549
07.05.2022,00.00,840,USD,1,Долар США,29.2549
08.05.2022,00.00,840,USD,1,Долар США,29.2549
09.05.2022,00.00,840,USD,1,Долар США,29.2549
10.05.2022,00.00,840,USD,1,Долар США,29.2549
11.05.2022,00.00,840,USD,1,Долар США,29.2549
12.05.2022,00.00,840,USD,1,Долар США,29.2549
13.05.2022,00.00,840,USD,1,Долар США,29.2549
14.05.2022,00.00,840,USD,1,Долар США,29.2549
15.05.2022,00.00,840,USD,1,Долар США,29.2549
16.05.2022,00.00,840,USD,1,Долар США,29.2549
17.05.2022,00.00,840,USD,1,Долар США,29.2549
18.05.2022,00.00,840,USD,1,Долар США,29.2549
19.05.2022,00.00,840,USD,1,Долар США,29.2549
20.05.2022,00.00,840,USD,1,Долар США,29.2549
21.05.2022,00.00,840,USD,1,Долар США,29.2549
22.05.2022,00.00,840,USD,1,Долар США,29.2549
23.05.2022,00.00,840,USD,1,Долар США,29.2549
24.05.2022,00.00,840,USD,1,Долар США,29.2549
25.05.2022,00.00,840,USD,1,Долар США,29.2549
26.05.2022,00.00,840,USD,1,Долар США,29.2549
27.05.2022,00.00,840,USD,1,Долар США,29.2549
28.05.2022,00.00,840,USD,1,Долар США,29.2549
29.05.2022,00.00,840,USD,1,Долар США,29.2549
30.05.2022,00.00,840,USD,1,Долар США,29.2549
31.05.2022,00.00,840,USD,1,Долар США,29.2549
01.06.2022,00.00,840,USD,1,Долар США,29.2549
02.06.2022,00.00,840,USD,1,Долар США,29.2549
03.06.2022,00.00,840,USD,1,Долар США,29.2549
04.06.2022,00.00,840,USD,1,Долар США,29.2549
05.06.2022,00.00,840,USD,1,Долар США,29.2549
06.06.2022,00.00,840,USD,1,Долар США,29.2549
07.06.2022,00.00,840,USD,1,Долар США,29.2549
08.06.2022,00.00,840,USD,1,Долар США,29.2549
09.06.2022,00.00,840,USD,1,Долар США,29.2549
10.06.2022,00.00,840,USD,1,Долар США,29.2549
11.06.2022,00.00,840,USD,1,Долар США,29.2549
12.06.2022,00.00,840,USD,1,Долар США,29.2549
13.06.2022,00.00,840,USD,1,Долар США,29.2549
14.06.2022,00.00,840,USD,1,Долар США,29.2549
15.06.2022,00.00,840,USD,1,Долар США,29.2549
16.06.2022,00.00,840,USD,1,Долар США,29.2549
17.06.2022,00.00,840,USD,1,Долар США,29.2549
18.06.2022,00.00,840,USD,1,Долар США,29.2549
19.06.2022,00.00,840,USD,1,Долар США,29.2549
20.06.2022,00.00,840,USD,1,Долар США,29.2549
21.06.2022,00.00,840,USD,1,Долар США,29.2549
22.06.2022,00.00,840,USD,1,Долар США,29.2549
23.06.2022,00.00,840,USD,1,Долар США,29.2549
24.06.2022,00.00,840,USD,1,Долар США,29.2549
25.06.2022,00.00,840,USD,1,Долар США,29.2549
26.06.2022,00.00,840,USD,1,Долар США,29.2549
27.06.2022,00.00,840,USD,1,Долар США,29.2549
28.06.2022,00.00,840,USD,1,Долар США,29.2549
29.06.2022,00.00,840,USD,1,Долар США,29.2549
30.06.2022,00.00,840,USD,1,Долар США,29.2549
01.07.2022,00.00,840,USD,1,Долар США,29.2549
02.07.2022,00.00,840,USD,1,Долар США,29.2549
03.07.2022,00.00,840,USD,1,Долар США,29.2549
04.07.2022,00.00,840,USD,1,Долар США,29.2549
05.07.2022,00.00,840,USD,1,Долар США,29.2549
06.07.2022,00.00,840,USD,1,Долар США,29.2549
07.07.2022,00.00,840,USD,1,Долар США,29.2549
08.07.2022,00.00,840,USD,1,Долар США,29.2549
09.07.2022,00.00,840,USD,1,Долар США,29.2549
10.07.2022,00.00,840,USD,1,Долар США,29.2549
11.07.2022,00.00,840,USD,1,Долар США,29.2549
12.07.2022,00.00,840,USD,1,Долар США,29.2549
13.07.2022,00.00,840,USD,1,Долар США,29.2549
14.07.2022,00.00,840,USD,1,Долар США,29.2549
15.07.2022,00.00,840,USD,1,Долар США,29.2549
16.07.2022,00.00,840,USD,1,Долар США,29.2549
17.07.2022,00.00,840,USD,1,Долар США,29.2549
18.07.2022,00.00,840,USD,1,Долар США,29.2549
19.07.2022,00.00,840,USD,1,Долар США,29.2549
20.07.2022,00.00,840,USD,1,Долар США,29.2549
21.07.2022,00.00,840,USD,1,Долар США,36.5686
22.07.2022,00.00,840,USD,1,Долар США,36.5686
23.07.2022,00.00,840,USD,1,Долар США,36.5686
24.07.2022,00.00,840,USD,1,Долар США,36.5686
25.07.2022,00.00,840,USD,1,Долар США,36.5686
26.07.2022,00.00,840,USD,1,Долар США,36.5686
27.07.2022,00.00,840,USD,1,Долар США,36.5686
28.07.2022,00.00,840,USD,1,Долар США,36.5686
29.07.2022,00.00,840,USD,1,Долар США,36.5686
30.07.2022,00.00,840,USD,1,Долар США,36.5686
31.07.2022,00.00,840,USD,1,Долар США,36.5686
01.08.2022,00.00,840,USD,1,Долар США,36.5686
02.08.2022,00.00,840,USD,1,Долар США,36.5686
03.08.2022,00.00,840,USD,1,Долар США,36.5686
04.08.2022,00.00,840,USD,1,Долар США,36.5686
05.08.2022,00.00,840,USD,1,Долар США,36.5686
06.08.2022,00.00,840,USD,1,Долар США,36.5686
07.08.2022,00.00,840,USD,1,Долар США,36.5686
08.08.2022,00.00,840,USD,1,Долар США,36.5686
09.08.2022,00.00,840,USD,1,Долар США,36.5686
10.08.2022,00.00,840,USD,1,Долар США,36.5686
11.08.2022,00.00,840,USD,1,Долар США,36.5686
12.08.2022,00.00,840,USD,1,Долар США,36.5686
13.08.2022,00.00,840,USD,1,Долар США,36.5686
14.08.2022,00.00,840,USD,1,Долар США,36.5686
15.08.2022,00.00,840,USD,1,Долар США,36.5686
16.08.2022,00.00,840,USD,1,Долар США,36.5686
17.08.2022,00.00,840,USD,1,Долар США,36.5686
18.08.2022,00.00,840,USD,1,Долар США,36.5686
19.08.2022,00.00,840,USD,1,Долар США,36.5686
20.08.2022,00.00,840,USD,1,Долар США,36.5686
21.08.2022,00.00,840,USD,1,Долар США,36.5686
22.08.2022,00.00,840,USD,1,Долар США,36.5686
23.08.2022,00.00,840,USD,1,Долар США,36.5686
24.08.2022,00.00,840,USD,1,Долар США,36.5686
25.08.2022,00.00,840,USD,1,Долар США,36.5686
26.08.2022,00.00,840,USD,1,Долар США,36.5686
27.08.2022,00.00,840,USD,1,Долар США,36.5686
28.08.2022,00.00,840,USD,1,Долар США,36.5686
29.08.2022,00.00,840,USD,1,Долар США,36.5686
30.08.2022,00.00,840,USD,1,Долар США,36.5686
31.08.2022,00.00,840,USD,1,Долар США,36.5686
01.09.2022,00.00,840,USD,1,Долар США,36.5686
02.09.2022,00.00,840,USD,1,Долар США,36.5686
03.09.2022,00.00,840,USD,1,Долар США,36.5686
04.09.2022,00.00,840,USD,1,Долар США,36.5686
05.09.2022,00.00,840,USD,1,Долар США,36.5686
06.09.2022,00.00,840,USD,1,Долар США,36.5686
07.09.2022,00.00,840,USD,1,Долар США,36.5686
08.09.2022,00.00,840,USD,1,Долар США,36.5686
09.09.2022,00.00,840,USD,1,Долар США,36.5686
10.09.2022,00.00,840,USD,1,Долар США,36.5686
11.09.2022,00.00,840,USD,1,Долар США,36.5686
12.09.2022,00.00,840,USD,1,Долар США,36.5686
13.09.2022,00.00,840,USD,1,Долар США,36.5686
14.09.2022,00.00,840,USD,1,Долар США,36.5686
15.09.2022,00.00,840,USD,1,Долар США,36.5686
16.09.2022,00.00,840,USD,1,Долар США,36.5686
17.09.2022,00.00,840,USD,1,Долар США,36.5686
18.09.2022,00.00,840,USD,1,Долар США,36.5686
19.09.2022,00.00,840,USD,1,Долар США,36.5686
20.09.2022,00.00,840,USD,1,Долар США,36.5686
21.09.2022,00.00,840,USD,1,Долар США,36.5686
22.09.2022,00.00,840,USD,1,Долар США,36.5686
23.09.2022,00.00,840,USD,1,Долар США,36.5686
24.09.2022,00.00,840,USD,1,Долар США,36.5686
25.09.2022,00.00,840,USD,1,Долар США,36.5686
26.09.2022,00.00,840,USD,1,Долар США,36.5686
27.09.2022,00.00,840,USD,1,Долар США,36.5686
28.09.2022,00.00,840,USD,1,Долар США,36.5686
29.09.2022,00.00,840,USD,1,Долар США,36.5686
30.09.2022,00.00,840,USD,1,Долар США,36.5686
01.10.2022,00.00,840,USD,1,Долар США,36.5686
02.10.2022,00.00,840,USD,1,Долар США,36.5686
03.10.2022,00.00,840,USD,1,Долар США,36.5686
04.10.2022,00.00,840,USD,1,Долар США,36.5686
05.10.2022,00.00,840,USD,1,Долар США,36.5686
06.10.2022,00.00,840,USD,1,Долар США,36.5686
07.10.2022,00.00,840,USD,1,Долар США,36.5686
08.10.2022,00.00,840,USD,1,Долар США,36.5686
09.10.2022,00.00,840,USD,1,Долар США,36.5686
10.10.2022,00.00,840,USD,1,Долар США,36.5686
11.10.2022,00.00,840,USD,1,Долар США,36.5686
12.10.2022,00.00,840,USD,1,Долар США,36.5686
13.10.2022,00.00,840,USD,1,Долар США,36.5686
14.10.2022,00.00,840,USD,1,Долар США,36.5686
15.10.2022,00.00,840,USD,1,Долар США,36.5686
16.10.2022,00.00,840,USD,1,Долар США,36.5686
17.10.2022,00.00,840,USD,1,Долар США,36.5686
18.10.2022,00.00,840,USD,1,Долар США,36.5686
19.10.2022,00.00,840,USD,1,Долар США,36.5686
20.10.2022,00.00,840,USD,1,Долар США,36.5686
21.10.2022,00.00,840,USD,1,Долар США,36.5686
22.10.2022,00.00,840,USD,1,Долар США,36.5686
23.10.2022,00.00,840,USD,1,Долар США,36.5686
24.10.2022,00.00,840,USD,1,Долар США,36.5686
25.10.2022,00.00,840,USD,1,Долар США,36.5686
26.10.2022,00.00,840,USD,1,Долар США,36.5686
27.10.2022,00.00,840,USD,1,Долар США,36.5686
28.10.2022,00.00,840,USD,1,Долар США,36.5686
29.10.2022,00.00,840,USD,1,Долар США,36.5686
30.10.2022,00.00,840,USD,1,Долар США,36.5686
31.10.2022,00.00,840,USD,1,Долар США,36.5686
01.11.2022,00.00,840,USD,1,Долар США,36.5686
02.11.2022,00.00,840,USD,1,Долар США,36.5686
03.11.2022,00.00,840,USD,1,Долар США,36.5686
04.11.2022,00.00,840,USD,1,Долар США,36.5686
05.11.2022,00.00,840,USD,1,Долар США,36.5686
06.11.2022,00.00,840,USD,1,Долар США,36.5686
07.11.2022,00.00,840,USD,1,Долар США,36.5686
08.11.2022,00.00,840,USD,1,Долар США,36.5686
09.11.2022,00.00,840,USD,1,Долар США,36.5686
10.11.2022,00.00,840,USD,1,Долар США,36.5686
11.11.2022,00.00,840,USD,1,Долар США,36.5686
12.11.2022,00.00,840,USD,1,Долар США,36.5686
13.11.2022,00.00,840,USD,1,Долар США,36.5686
14.11.2022,00.00,840,USD,1,Долар США,36.5686
15.11.2022,00.00,840,USD,1,Долар США,36.5686
16.11.2022,00.00,840,USD,1,Долар США,36.5686
17.11.2022,00.00,840,USD,1,Долар США,36.5686
18.11.2022,00.00,840,USD,1,Долар США,36.5686
19.11.2022,00.00,840,USD,1,Долар США,36.5686
20.11.2022,00.00,840,USD,1,Долар США,36.5686
21.11.2022,00.00,840,USD,1,Долар США,36.5686
22.11.2022,00.00,840,USD,1,Долар США,36.5686
23.11.2022,00.00,840,USD,1,Долар США,36.5686
24.11.2022,00.00,840,USD,1,Долар США,36.5686
25.11.2022,00.00,840,USD,1,Долар США,36.5686
26.11.2022,00.00,840,USD,1,Долар США,36.5686
27.11.2022,00.00,840,USD,1,Долар США,36.5686
28.11.2022,00.00,840,USD,1,Долар США,36.5686
29.11.2022,00.00,840,USD,1,Долар США,36.5686
30.11.2022,00.00,840,USD,1,Долар США,36.5686
01.12.2022,00.00,840,USD,1,Долар США,36.5686
02.12.2022,00.00,840,USD,1,Долар США,36.5686
03.12.2022,00.00,840,USD,1,Долар США,36.5686
04.12.2022,00.00,840,USD,1,Долар США,36.5686
05.12.2022,00.00,840,USD,1,Долар США,36.5686
06.12.2022,00.00,840,USD,1,Долар США,36.5686
07.12.2022,00.00,840,USD,1,Долар США,36.5686
08.12.2022,00.00,840,USD,1,Долар США,36.5686
09.12.2022,00.00,840,USD,1,Долар США,36.5686
10.12.2022,00.00,840,USD,1,Долар США,36.5686
11.12.2022,00.00,840,USD,1,Долар США,36.5686
12.12.2022,00.00,840,USD,1,Долар США,36.5686
13.12.2022,00.00,840,USD,1,Долар США,36.5686
14.12.2022,00.00,840,USD,1,Долар США,36.5686
15.12.2022,00.00,840,USD,1,Долар США,36.5686
16.12.2022,00.00,840,USD,1,Долар США,36.5686
17.12.2022,00.00,840,USD,1,Долар США,36.5686
18.12.2022,00.00,840,USD,1,Долар США,36.5686
19.12.2022,00.00,840,USD,1,Долар США,36.5686
20.12.2022,00.00,840,USD,1,Долар США,36.5686
21.12.2022,00.00,840,USD,1,Долар США,36.5686
22.12.2022,00.00,840,USD,1,Долар США,36.5686
23.12.2022,00.00,840,USD,1,Долар США,36.5686
24.12.2022,00.00,840,USD,1,Долар США,36.5686
25.12.2022,00.00,840,USD,1,Долар США,36.5686
26.12.2022,00.00,840,USD,1,Долар США,36.5686
27.12.2022,00.00,840,USD,1,Долар США,36.5686
28.12.2022,00.00,840,USD,1,Долар США,36.5686
29.12.2022,00.00,840,USD,1,Долар США,36.5686
30.12.2022,00.00,840,USD,1,Долар США,36.5686
31.12.2022,00.00,840,USD,1,Долар США,36.5686
01.01.2023,00.00,840,USD,1,Долар США,36.5686
02.01.2023,00.00,840,USD,1,Долар США,36.5686
03.01.2023,00.00,840,USD,1,Долар США,36.5686
04.01.2023,00.00,840,USD,1,Долар США,36.5686
05.01.2023,00.00,840,USD,1,Долар США,36.5686
06.01.2023,00.00,840,USD,1,Долар США,36.5686
07.01.2023,00.00,840,USD,1,Долар США,36.5686
08.01.2023,00.00,840,USD,1,Долар США,36.5686
09.01.2023,00.00,840,USD,1,Долар США,36.5686
10.01.2023,00.00,840,USD,1,Долар США,36.5686
11.01.2023,00.00,840,USD,1,Долар США,36.5686
12.01.2023,00.00,840,USD,1,Долар США,36.5686
13.01.2023,00.00,840,USD,1,Долар США,36.5686
14.01.2023,00.00,840,USD,1,Долар США,36.5686
15.01.2023,00.00,840,USD,1,Долар США,36.5686
16.01.2023,00.00,840,USD,1,Долар США,36.5686
17.01.2023,00.00,840,USD,1,Долар США,36.5686
18.01.2023,00.00,840,USD,1,Долар США,36.5686
19.01.2023,00.00,840,USD,1,Долар США,36.5686
20.01.2023,00.00,840,USD,1,Долар США,36.5686
21.01.2023,00.00,840,USD,1,Долар США,36.5686
22.01.2023,00.00,840,USD,1,Долар США,36.5686
23.01.2023,00.00,840,USD,1,Долар США,36.5686
24.01.2023,00.00,840,USD,1,Долар США,36.5686
25.01.2023,00.00,840,USD,1,Долар США,36.5686
26.01.2023,00.00,840,USD,1,Долар США,36.5686
27.01.2023,00.00,840,USD,1,Долар США,36.5686
28.01.2023,00.00,840,USD,1,Долар США,36.5686
29.01.2023,00.00,840,USD,1,Долар США,36.5686
30.01.2023,00.00,840,USD,1,Долар США,36.5686
31.01.2023,00.00,840,USD,1,Долар США,36.5686
01.02.2023,00.00,840,USD,1,Долар США,36.5686
02.02.2023,00.00,840,USD,1,Долар США,36.5686
03.02.2023,00.00,840,USD,1,Долар США,36.5686
04.02.2023,00.00,840,USD,1,Долар США,36.5686
05.02.2023,00.00,840,USD,1,Долар США,36.5686
06.02.2023,00.00,840,USD,1,Долар США,36.5686
07.02.2023,00.00,840,USD,1,Долар США,36.5686
08.02.2023,00.00,840,USD,1,Долар США,36.5686
09.02.2023,00.00,840,USD,1,Долар США,36.5686
10.02.2023,00.00,840,USD,1,Долар США,36.5686
11.02.2023,00.00,840,USD,1,Долар США,36.5686
12.02.2023,00.00,840,USD,1,Долар США,36.5686
13.02.2023,00.00,840,USD,1,Долар США,36.5686
14.02.2023,00.00,840,USD,1,Долар США,36.5686
15.02.2023,00.00,840,USD,1,Долар США,36.5686
16.02.2023,00.00,840,USD,1,Долар США,36.5686
17.02.2023,00.00,840,USD,1,Долар США,36.5686
18.02.2023,00.00,840,USD,1,Долар США,36.5686
19.02.2023,00.00,840,USD,1,Долар США,36.5686
20.02.2023,00.00,840,USD,1,Долар США,36.5686
21.02.2023,00.00,840,USD,1,Долар США,36.5686
22.02.2023,00.00,840,USD,1,Долар США,36.5686
23.02.2023,00.00,840,USD,1,Долар США,36.5686
24.02.2023,00.00,840,USD,1,Долар США,36.5686
25.02.2023,00.00,840,USD,1,Долар США,36.5686
26.02.2023,00.00,840,USD,1,Долар США,36.5686
27.02.2023,00.00,840,USD,1,Долар США,36.5686
28.02.2023,00.00,840,USD,1,Долар США,36.5686
01.03.2023,00.00,840,USD,1,Долар США,36.5686
02.03.2023,00.00,840,USD,1,Долар США,36.5686
03.03.2023,00.00,840,USD,1,Долар США,36.5686
04.03.2023,00.00,840,USD,1,Долар США,36.5686
05.03.2023,00.00,840,USD,1,Долар США,36.5686
06.03.2023,00.00,840,USD,1,Долар США,36.5686
07.03.2023,00.00,840,USD,1,Долар США,36.5686
08.03.2023,00.00,840,USD,1,Долар США,36.5686
09.03.2023,00.00,840,USD,1,Долар США,36.5686
10.03.2023,00.00,840,USD,1,Долар США,36.5686
11.03.2023,00.00,840,USD,1,Долар США,36.5686
12.03.2023,00.00,840,USD,1,Долар США,36.5686
13.03.2023,00.00,840,USD,1,Долар США,36.5686
14.03.2023,00.00,840,USD,1,Долар США,36.5686
15.03.2023,00.00,840,USD,1,Долар США,36.5686
16.03.2023,00.00,840,USD,1,Долар США,36.5686
17.03.2023,00.00,840,USD,1,Долар США,36.5686
18.03.2023,00.00,840,USD,1,Долар США,36.5686
19.03.2023,00.00,840,USD,1,Долар США,36.5686
20.03.2023,00.00,840,USD,1,Долар США,36.5686
21.03.2023,00.00,840,USD,1,Долар США,36.5686
22.03.2023,00.00,840,USD,1,Долар США,36.5686
23.03.2023,00.00,840,USD,1,Долар США,36.5686
24.03.2023,00.00,840,USD,1,Долар США,36.5686
25.03.2023,00.00,840,USD,1,Долар США,36.5686
26.03.2023,00.00,840,USD,1,Долар США,36.5686
27.03.2023,00.00,840,USD,1,Долар США,36.5686
28.03.2023,00.00,840,USD,1,Долар США,36.5686
29.03.2023,00.00,840,USD,1,Долар США,36.5686
30.03.2023,00.00,840,USD,1,Долар США,36.5686
31.03.2023,00.00,840,USD,1,Долар США,36.5686
01.04.2023,00.00,840,USD,1,Долар США,36.5686
02.04.2023,00.00,840,USD,1,Долар США,36.5686
03.04.2023,00.00,840,USD,1,Долар США,36.5686
04.04.2023,00.00,840,USD,1,Долар США,36.5686
05.04.2023,00.00,840,USD,1,Долар США,36.5686
06.04.2023,00.00,840,USD,1,Долар США,36.5686
07.04.2023,00.00,840,USD,1,Долар США,36.5686
08.04.2023,00.00,840,USD,1,Долар США,36.5686
09.04.2023,00.00,840,USD,1,Долар США,36.5686
10.04.2023,00.00,840,USD,1,Долар США,36.5686
11.04.2023,00.00,840,USD,1,Долар США,36.5686
12.04.2023,00.00,840,USD,1,Долар США,36.5686
13.04.2023,00.00,840,USD,1,Долар США,36.5686
14.04.2023,00.00,840,USD,1,Долар США,36.5686
15.04.2023,00.00,840,USD,1,Долар США,36.5686
16.04.2023,00.00,840,USD,1,Долар США,36.5686
17.04.2023,00.00,840,USD,1,Долар США,36.5686
18.04.2023,00.00,840,USD,1,Долар США,36.5686
19.04.2023,00.00,840,USD,1,Долар США,36.5686
20.04.2023,00.00,840,USD,1,Долар США,36.5686
21.04.2023,00.00,840,USD,1,Долар США,36.5686
22.04.2023,00.00,840,USD,1,Долар США,36.5686
23.04.2023,00.00,840,USD,1,Долар США,36.5686
24.04.2023,00.00,840,USD,1,Долар США,36.5686
25.04.2023,00.00,840,USD,1,Долар США,36.5686
26.04.2023,00.00,840,USD,1,Долар США,36.5686
27.04.2023,00.00,840,USD,1,Долар США,36.5686
28.04.2023,00.00,840,USD,1,Долар США,36.5686
29.04.2023,00.00,840,USD,1,Долар США,36.5686
30.04.2023,00.00,840,USD,1,Долар США,36.5686
01.05.2023,00.00,840,USD,1,Долар США,36.5686
02.05.2023,00.00,840,USD,1,Долар США,36.5686
03.05.2023,00.00,840,USD,1,Долар США,36.5686
04.05.2023,00.00,840,USD,1,Долар США,36.5686
05.05.2023,00.00,840,USD,1,Долар США,36.5686
06.05.2023,00.00,840,USD,1,Долар США,36.5686
07.05.2023,00.00,840,USD,1,Долар США,36.5686
08.05.2023,00.00,840,USD,1,Долар США,36.5686
09.05.2023,00.00,840,USD,1,Долар США,36.5686
10.05.2023,00.00,840,USD,1,Долар США,36.5686
11.05.2023,00.00,840,USD,1,Долар США,36.5686
